w,x,y,z
0.000500,0.000483,0.000120,0.000420
0.001000,0.000967,0.000240,0.000840
0.001500,0.001450,0.000360,0.001259
0.002000,0.001933,0.000480,0.001679
0.002499,0.002416,0.000600,0.002098
0.002999,0.002899,0.000721,0.002517
0.003499,0.003382,0.000841,0.002936
0.003999,0.003865,0.000961,0.003354
0.004498,0.004348,0.001082,0.003772
0.004998,0.004831,0.001202,0.004191
0.005497,0.005314,0.001322,0.004608
0.005997,0.005797,0.001443,0.005026
0.006496,0.006280,0.001563,0.005444
0.006995,0.006762,0.001684,0.005861
0.007495,0.007245,0.001805,0.006278
0.007994,0.007728,0.001925,0.006695
0.008493,0.008210,0.002046,0.007112
0.008992,0.008693,0.002167,0.007528
0.009491,0.009175,0.002287,0.007944
0.009990,0.009658,0.002408,0.008360
0.010489,0.010140,0.002529,0.008776
0.010988,0.010622,0.002650,0.009192
0.011487,0.011105,0.002771,0.009607
0.011986,0.011587,0.002892,0.010022
0.012484,0.012069,0.003013,0.010437
0.012983,0.012551,0.003134,0.010852
0.013482,0.013033,0.003255,0.011267
0.013980,0.013515,0.003376,0.011681
0.014479,0.013997,0.003497,0.012095
0.014977,0.014479,0.003619,0.012509
0.015475,0.014961,0.003740,0.012923
0.015974,0.015443,0.003861,0.013336
0.016472,0.015925,0.003983,0.013750
0.016970,0.016407,0.004104,0.014163
0.017468,0.016888,0.004226,0.014576
0.017966,0.017370,0.004347,0.014988
0.018464,0.017852,0.004469,0.015401
0.018962,0.018333,0.004590,0.015813
0.019460,0.018815,0.004712,0.016225
0.019958,0.019296,0.004833,0.016637
0.020456,0.019778,0.004955,0.017049
0.020954,0.020259,0.005077,0.017460
0.021451,0.020740,0.005199,0.017872
0.021949,0.021222,0.005320,0.018283
0.022446,0.021703,0.005442,0.018693
0.022944,0.022184,0.005564,0.019104
0.023441,0.022665,0.005686,0.019514
0.023939,0.023146,0.005808,0.019925
0.024436,0.023628,0.005930,0.020335
0.024933,0.024109,0.006052,0.020745
0.025430,0.024590,0.006174,0.021154
0.025927,0.025070,0.006296,0.021564
0.026424,0.025551,0.006419,0.021973
0.026921,0.026032,0.006541,0.022382
0.027418,0.026513,0.006663,0.022791
0.027915,0.026994,0.006785,0.023199
0.028412,0.027474,0.006908,0.023608
0.028909,0.027955,0.007030,0.024016
0.029405,0.028436,0.007153,0.024424
0.029902,0.028916,0.007275,0.024831
0.030398,0.029397,0.007398,0.025239
0.030895,0.029877,0.007520,0.025646
0.031391,0.030358,0.007643,0.026054
0.031888,0.030838,0.007765,0.026460
0.032384,0.031319,0.007888,0.026867
0.032880,0.031799,0.008011,0.027274
0.033376,0.032279,0.008133,0.027680
0.033872,0.032759,0.008256,0.028086
0.034368,0.033240,0.008379,0.028492
0.034864,0.033720,0.008502,0.028898
0.035360,0.034200,0.008625,0.029303
0.035856,0.034680,0.008748,0.029709
0.036351,0.035160,0.008871,0.030114
0.036847,0.035640,0.008994,0.030519
0.037342,0.036120,0.009117,0.030923
0.037838,0.036599,0.009240,0.031328
0.038333,0.037079,0.009363,0.031732
0.038829,0.037559,0.009486,0.032136
0.039324,0.038039,0.009609,0.032540
0.039819,0.038518,0.009733,0.032944
0.040314,0.038998,0.009856,0.033347
0.040809,0.039478,0.009979,0.033751
0.041304,0.039957,0.010103,0.034154
0.041799,0.040437,0.010226,0.034557
0.042294,0.040916,0.010350,0.034959
0.042789,0.041396,0.010473,0.035362
0.043284,0.041875,0.010597,0.035764
0.043778,0.042354,0.010720,0.036166
0.044273,0.042834,0.010844,0.036568
0.044767,0.043313,0.010967,0.036970
0.045262,0.043792,0.011091,0.037371
0.045756,0.044271,0.011215,0.037772
0.046250,0.044750,0.011339,0.038174
0.046744,0.045229,0.011462,0.038574
0.047238,0.045708,0.011586,0.038975
0.047732,0.046187,0.011710,0.039376
0.048226,0.046666,0.011834,0.039776
0.048720,0.047145,0.011958,0.040176
0.049214,0.047624,0.012082,0.040576
0.049708,0.048103,0.012206,0.040975
0.050201,0.048582,0.012330,0.041375
0.050695,0.049060,0.012454,0.041774
0.051189,0.049539,0.012578,0.042173
0.051682,0.050018,0.012702,0.042572
0.052175,0.050496,0.012827,0.042971
0.052669,0.050975,0.012951,0.043369
0.053162,0.051453,0.013075,0.043767
0.053655,0.051932,0.013200,0.044165
0.054148,0.052410,0.013324,0.044563
0.054641,0.052889,0.013448,0.044961
0.055134,0.053367,0.013573,0.045358
0.055626,0.053845,0.013697,0.045756
0.056119,0.054324,0.013822,0.046153
0.056612,0.054802,0.013946,0.046549
0.057104,0.055280,0.014071,0.046946
0.057597,0.055758,0.014195,0.047343
0.058089,0.056236,0.014320,0.047739
0.058581,0.056714,0.014445,0.048135
0.059074,0.057192,0.014570,0.048531
0.059566,0.057670,0.014694,0.048926
0.060058,0.058148,0.014819,0.049322
0.060550,0.058626,0.014944,0.049717
0.061042,0.059104,0.015069,0.050112
0.061534,0.059582,0.015194,0.050507
0.062025,0.060059,0.015319,0.050902
0.062517,0.060537,0.015444,0.051296
0.063008,0.061015,0.015569,0.051690
0.063500,0.061492,0.015694,0.052084
0.063991,0.061970,0.015819,0.052478
0.064483,0.062448,0.015944,0.052872
0.064974,0.062925,0.016069,0.053265
0.065465,0.063403,0.016194,0.053659
0.065956,0.063880,0.016320,0.054052
0.066447,0.064357,0.016445,0.054445
0.066938,0.064835,0.016570,0.054837
0.067429,0.065312,0.016695,0.055230
0.067919,0.065789,0.016821,0.055622
0.068410,0.066266,0.016946,0.056014
0.068901,0.066744,0.017072,0.056406
0.069391,0.067221,0.017197,0.056798
0.069881,0.067698,0.017323,0.057189
0.070372,0.068175,0.017448,0.057580
0.070862,0.068652,0.017574,0.057971
0.071352,0.069129,0.017700,0.058362
0.071842,0.069606,0.017825,0.058753
0.072332,0.070083,0.017951,0.059144
0.072822,0.070560,0.018077,0.059534
0.073312,0.071036,0.018202,0.059924
0.073801,0.071513,0.018328,0.060314
0.074291,0.071990,0.018454,0.060704
0.074780,0.072467,0.018580,0.061093
0.075270,0.072943,0.018706,0.061482
0.075759,0.073420,0.018832,0.061871
0.076248,0.073896,0.018958,0.062260
0.076737,0.074373,0.019084,0.062649
0.077226,0.074849,0.019210,0.063038
0.077715,0.075326,0.019336,0.063426
0.078204,0.075802,0.019462,0.063814
0.078693,0.076279,0.019588,0.064202
0.079182,0.076755,0.019714,0.064590
0.079670,0.077231,0.019841,0.064977
0.080159,0.077707,0.019967,0.065365
0.080647,0.078184,0.020093,0.065752
0.081135,0.078660,0.020219,0.066139
0.081624,0.079136,0.020346,0.066526
0.082112,0.079612,0.020472,0.066912
0.082600,0.080088,0.020599,0.067299
0.083088,0.080564,0.020725,0.067685
0.083575,0.081040,0.020852,0.068071
0.084063,0.081516,0.020978,0.068457
0.084551,0.081992,0.021105,0.068842
0.085038,0.082468,0.021231,0.069228
0.085526,0.082944,0.021358,0.069613
0.086013,0.083419,0.021485,0.069998
0.086500,0.083895,0.021611,0.070383
0.086988,0.084371,0.021738,0.070767
0.087475,0.084846,0.021865,0.071152
0.087962,0.085322,0.021992,0.071536
0.088449,0.085798,0.022118,0.071920
0.088935,0.086273,0.022245,0.072304
0.089422,0.086749,0.022372,0.072687
0.089909,0.087224,0.022499,0.073071
0.090395,0.087700,0.022626,0.073454
0.090882,0.088175,0.022753,0.073837
0.091368,0.088650,0.022880,0.074220
0.091854,0.089126,0.023007,0.074603
0.092340,0.089601,0.023134,0.074985
0.092826,0.090076,0.023261,0.075367
0.093312,0.090551,0.023389,0.075750
0.093798,0.091026,0.023516,0.076132
0.094284,0.091501,0.023643,0.076513
0.094769,0.091977,0.023770,0.076895
0.095255,0.092452,0.023898,0.077276
0.095740,0.092927,0.024025,0.077657
0.096225,0.093402,0.024152,0.078038
0.096711,0.093876,0.024280,0.078419
0.097196,0.094351,0.024407,0.078799
0.097681,0.094826,0.024534,0.079180
0.098166,0.095301,0.024662,0.079560
0.098650,0.095776,0.024790,0.079940
0.099135,0.096250,0.024917,0.080320
0.099620,0.096725,0.025045,0.080699
0.100104,0.097200,0.025172,0.081079
0.100589,0.097674,0.025300,0.081458
0.101073,0.098149,0.025428,0.081837
0.101557,0.098624,0.025555,0.082216
0.102041,0.099098,0.025683,0.082594
0.102525,0.099573,0.025811,0.082973
0.103009,0.100047,0.025939,0.083351
0.103493,0.100521,0.026066,0.083729
0.103977,0.100996,0.026194,0.084107
0.104460,0.101470,0.026322,0.084485
0.104944,0.101944,0.026450,0.084862
0.105427,0.102419,0.026578,0.085239
0.105910,0.102893,0.026706,0.085617
0.106393,0.103367,0.026834,0.085993
0.106877,0.103841,0.026962,0.086370
0.107359,0.104315,0.027090,0.086747
0.107842,0.104789,0.027219,0.087123
0.108325,0.105263,0.027347,0.087499
0.108808,0.105737,0.027475,0.087875
0.109290,0.106211,0.027603,0.088251
0.109773,0.106685,0.027731,0.088626
0.110255,0.107159,0.027860,0.089002
0.110737,0.107633,0.027988,0.089377
0.111219,0.108107,0.028116,0.089752
0.111701,0.108580,0.028245,0.090127
0.112183,0.109054,0.028373,0.090501
0.112665,0.109528,0.028502,0.090876
0.113146,0.110001,0.028630,0.091250
0.113628,0.110475,0.028758,0.091624
0.114109,0.110949,0.028887,0.091998
0.114591,0.111422,0.029016,0.092372
0.115072,0.111896,0.029144,0.092745
0.115553,0.112369,0.029273,0.093118
0.116034,0.112842,0.029401,0.093492
0.116515,0.113316,0.029530,0.093864
0.116996,0.113789,0.029659,0.094237
0.117477,0.114263,0.029788,0.094610
0.117957,0.114736,0.029916,0.094982
0.118438,0.115209,0.030045,0.095354
0.118918,0.115682,0.030174,0.095726
0.119398,0.116155,0.030303,0.096098
0.119878,0.116629,0.030432,0.096470
0.120358,0.117102,0.030561,0.096841
0.120838,0.117575,0.030690,0.097212
0.121318,0.118048,0.030819,0.097583
0.121798,0.118521,0.030948,0.097954
0.122277,0.118994,0.031077,0.098325
0.122757,0.119467,0.031206,0.098695
0.123236,0.119940,0.031335,0.099065
0.123715,0.120412,0.031464,0.099435
0.124194,0.120885,0.031593,0.099805
0.124673,0.121358,0.031722,0.100175
0.125152,0.121831,0.031852,0.100544
0.125631,0.122304,0.031981,0.100914
0.126110,0.122776,0.032110,0.101283
0.126588,0.123249,0.032239,0.101652
0.127067,0.123721,0.032369,0.102021
0.127545,0.124194,0.032498,0.102389
0.128023,0.124667,0.032628,0.102758
0.128501,0.125139,0.032757,0.103126
0.128979,0.125612,0.032886,0.103494
0.129457,0.126084,0.033016,0.103862
0.129935,0.126556,0.033145,0.104229
0.130412,0.127029,0.033275,0.104597
0.130890,0.127501,0.033405,0.104964
0.131367,0.127973,0.033534,0.105331
0.131845,0.128446,0.033664,0.105698
0.132322,0.128918,0.033794,0.106065
0.132799,0.129390,0.033923,0.106431
0.133276,0.129862,0.034053,0.106797
0.133753,0.130334,0.034183,0.107164
0.134229,0.130806,0.034312,0.107530
0.134706,0.131279,0.034442,0.107895
0.135182,0.131751,0.034572,0.108261
0.135659,0.132223,0.034702,0.108626
0.136135,0.132694,0.034832,0.108991
0.136611,0.133166,0.034962,0.109357
0.137087,0.133638,0.035092,0.109721
0.137563,0.134110,0.035222,0.110086
0.138038,0.134582,0.035352,0.110450
0.138514,0.135054,0.035482,0.110815
0.138990,0.135525,0.035612,0.111179
0.139465,0.135997,0.035742,0.111543
0.139940,0.136469,0.035872,0.111906
0.140415,0.136941,0.036002,0.112270
0.140890,0.137412,0.036132,0.112633
0.141365,0.137884,0.036263,0.112996
0.141840,0.138355,0.036393,0.113359
0.142315,0.138827,0.036523,0.113722
0.142789,0.139298,0.036653,0.114085
0.143264,0.139770,0.036784,0.114447
0.143738,0.140241,0.036914,0.114810
0.144212,0.140712,0.037044,0.115172
0.144686,0.141184,0.037175,0.115533
0.145160,0.141655,0.037305,0.115895
0.145634,0.142126,0.037436,0.116257
0.146107,0.142598,0.037566,0.116618
0.146581,0.143069,0.037697,0.116979
0.147054,0.143540,0.037827,0.117340
0.147528,0.144011,0.037958,0.117701
0.148001,0.144482,0.038088,0.118061
0.148474,0.144953,0.038219,0.118422
0.148947,0.145424,0.038350,0.118782
0.149420,0.145895,0.038480,0.119142
0.149892,0.146366,0.038611,0.119502
0.150365,0.146837,0.038742,0.119861
0.150837,0.147308,0.038873,0.120221
0.151310,0.147779,0.039003,0.120580
0.151782,0.148250,0.039134,0.120939
0.152254,0.148721,0.039265,0.121298
0.152726,0.149192,0.039396,0.121657
0.153198,0.149662,0.039527,0.122015
0.153669,0.150133,0.039658,0.122374
0.154141,0.150604,0.039789,0.122732
0.154612,0.151074,0.039920,0.123090
0.155084,0.151545,0.040051,0.123448
0.155555,0.152016,0.040182,0.123806
0.156026,0.152486,0.040313,0.124163
0.156497,0.152957,0.040444,0.124520
0.156968,0.153427,0.040575,0.124877
0.157438,0.153898,0.040706,0.125234
0.157909,0.154368,0.040837,0.125591
0.158379,0.154838,0.040968,0.125947
0.158849,0.155309,0.041100,0.126304
0.159320,0.155779,0.041231,0.126660
0.159790,0.156249,0.041362,0.127016
0.160259,0.156720,0.041493,0.127372
0.160729,0.157190,0.041625,0.127727
0.161199,0.157660,0.041756,0.128083
0.161668,0.158130,0.041888,0.128438
0.162138,0.158600,0.042019,0.128793
0.162607,0.159070,0.042150,0.129148
0.163076,0.159540,0.042282,0.129503
0.163545,0.160011,0.042413,0.129857
0.164014,0.160481,0.042545,0.130212
0.164483,0.160950,0.042676,0.130566
0.164951,0.161420,0.042808,0.130920
0.165420,0.161890,0.042939,0.131274
0.165888,0.162360,0.043071,0.131627
0.166356,0.162830,0.043203,0.131981
0.166824,0.163300,0.043334,0.132334
0.167292,0.163770,0.043466,0.132687
0.167760,0.164239,0.043598,0.133040
0.168228,0.164709,0.043730,0.133393
0.168695,0.165179,0.043861,0.133745
0.169163,0.165649,0.043993,0.134098
0.169630,0.166118,0.044125,0.134450
0.170097,0.166588,0.044257,0.134802
0.170564,0.167057,0.044389,0.135154
0.171031,0.167527,0.044520,0.135505
0.171498,0.167996,0.044652,0.135857
0.171964,0.168466,0.044784,0.136208
0.172431,0.168935,0.044916,0.136559
0.172897,0.169405,0.045048,0.136910
0.173363,0.169874,0.045180,0.137261
0.173829,0.170343,0.045312,0.137611
0.174295,0.170813,0.045444,0.137962
0.174761,0.171282,0.045577,0.138312
0.175227,0.171751,0.045709,0.138662
0.175692,0.172221,0.045841,0.139012
0.176158,0.172690,0.045973,0.139361
0.176623,0.173159,0.046105,0.139711
0.177088,0.173628,0.046237,0.140060
0.177553,0.174097,0.046370,0.140409
0.178018,0.174566,0.046502,0.140758
0.178483,0.175035,0.046634,0.141107
0.178947,0.175504,0.046767,0.141456
0.179412,0.175973,0.046899,0.141804
0.179876,0.176442,0.047031,0.142152
0.180340,0.176911,0.047164,0.142500
0.180804,0.177380,0.047296,0.142848
0.181268,0.177849,0.047429,0.143196
0.181732,0.178318,0.047561,0.143543
0.182195,0.178787,0.047693,0.143891
0.182659,0.179255,0.047826,0.144238
0.183122,0.179724,0.047959,0.144585
0.183585,0.180193,0.048091,0.144931
0.184048,0.180661,0.048224,0.145278
0.184511,0.181130,0.048356,0.145625
0.184974,0.181599,0.048489,0.145971
0.185437,0.182067,0.048622,0.146317
0.185899,0.182536,0.048754,0.146663
0.186362,0.183004,0.048887,0.147008
0.186824,0.183473,0.049020,0.147354
0.187286,0.183941,0.049153,0.147699
0.187748,0.184410,0.049285,0.148045
0.188210,0.184878,0.049418,0.148390
0.188671,0.185347,0.049551,0.148734
0.189133,0.185815,0.049684,0.149079
0.189594,0.186283,0.049817,0.149424
0.190056,0.186752,0.049950,0.149768
0.190517,0.187220,0.050083,0.150112
0.190978,0.187688,0.050215,0.150456
0.191439,0.188156,0.050348,0.150800
0.191899,0.188625,0.050481,0.151143
0.192360,0.189093,0.050614,0.151487
0.192820,0.189561,0.050748,0.151830
0.193280,0.190029,0.050881,0.152173
0.193741,0.190497,0.051014,0.152516
0.194201,0.190965,0.051147,0.152859
0.194660,0.191433,0.051280,0.153201
0.195120,0.191901,0.051413,0.153543
0.195580,0.192369,0.051546,0.153886
0.196039,0.192837,0.051680,0.154228
0.196498,0.193305,0.051813,0.154569
0.196957,0.193773,0.051946,0.154911
0.197416,0.194240,0.052079,0.155253
0.197875,0.194708,0.052213,0.155594
0.198334,0.195176,0.052346,0.155935
0.198792,0.195644,0.052479,0.156276
0.199251,0.196112,0.052613,0.156617
0.199709,0.196579,0.052746,0.156957
0.200167,0.197047,0.052880,0.157298
0.200625,0.197515,0.053013,0.157638
0.201083,0.197982,0.053146,0.157978
0.201541,0.198450,0.053280,0.158318
0.201998,0.198917,0.053413,0.158658
0.202456,0.199385,0.053547,0.158997
0.202913,0.199852,0.053681,0.159336
0.203370,0.200320,0.053814,0.159676
0.203827,0.200787,0.053948,0.160015
0.204284,0.201255,0.054081,0.160353
0.204740,0.201722,0.054215,0.160692
0.205197,0.202189,0.054349,0.161031
0.205653,0.202657,0.054482,0.161369
0.206109,0.203124,0.054616,0.161707
0.206566,0.203591,0.054750,0.162045
0.207021,0.204058,0.054884,0.162383
0.207477,0.204526,0.055017,0.162720
0.207933,0.204993,0.055151,0.163058
0.208388,0.205460,0.055285,0.163395
0.208844,0.205927,0.055419,0.163732
0.209299,0.206394,0.055553,0.164069
0.209754,0.206861,0.055687,0.164406
0.210209,0.207328,0.055821,0.164742
0.210664,0.207795,0.055955,0.165079
0.211118,0.208262,0.056089,0.165415
0.211573,0.208729,0.056223,0.165751
0.212027,0.209196,0.056357,0.166087
0.212481,0.209663,0.056491,0.166423
0.212935,0.210130,0.056625,0.166758
0.213389,0.210597,0.056759,0.167093
0.213843,0.211064,0.056893,0.167429
0.214296,0.211531,0.057027,0.167764
0.214750,0.211997,0.057161,0.168098
0.215203,0.212464,0.057295,0.168433
0.215656,0.212931,0.057430,0.168767
0.216109,0.213397,0.057564,0.169102
0.216562,0.213864,0.057698,0.169436
0.217015,0.214331,0.057832,0.169770
0.217467,0.214797,0.057967,0.170104
0.217919,0.215264,0.058101,0.170437
0.218372,0.215731,0.058235,0.170771
0.218824,0.216197,0.058369,0.171104
0.219276,0.216664,0.058504,0.171437
0.219727,0.217130,0.058638,0.171770
0.220179,0.217596,0.058773,0.172103
0.220630,0.218063,0.058907,0.172435
0.221082,0.218529,0.059042,0.172768
0.221533,0.218996,0.059176,0.173100
0.221984,0.219462,0.059311,0.173432
0.222435,0.219928,0.059445,0.173764
0.222885,0.220395,0.059580,0.174096
0.223336,0.220861,0.059714,0.174427
0.223786,0.221327,0.059849,0.174758
0.224237,0.221793,0.059983,0.175090
0.224687,0.222259,0.060118,0.175421
0.225137,0.222726,0.060253,0.175752
0.225586,0.223192,0.060387,0.176082
0.226036,0.223658,0.060522,0.176413
0.226485,0.224124,0.060657,0.176743
0.226935,0.224590,0.060791,0.177073
0.227384,0.225056,0.060926,0.177403
0.227833,0.225522,0.061061,0.177733
0.228282,0.225988,0.061196,0.178063
0.228731,0.226454,0.061331,0.178392
0.229179,0.226920,0.061465,0.178721
0.229628,0.227386,0.061600,0.179051
0.230076,0.227852,0.061735,0.179380
0.230524,0.228317,0.061870,0.179708
0.230972,0.228783,0.062005,0.180037
0.231420,0.229249,0.062140,0.180365
0.231867,0.229715,0.062275,0.180694
0.232315,0.230181,0.062410,0.181022
0.232762,0.230646,0.062545,0.181350
0.233209,0.231112,0.062680,0.181677
0.233656,0.231578,0.062815,0.182005
0.234103,0.232043,0.062950,0.182333
0.234550,0.232509,0.063085,0.182660
0.234996,0.232974,0.063220,0.182987
0.235443,0.233440,0.063355,0.183314
0.235889,0.233906,0.063491,0.183641
0.236335,0.234371,0.063626,0.183967
0.236781,0.234837,0.063761,0.184293
0.237227,0.235302,0.063896,0.184620
0.237672,0.235767,0.064031,0.184946
0.238118,0.236233,0.064167,0.185272
0.238563,0.236698,0.064302,0.185597
0.239008,0.237164,0.064437,0.185923
0.239453,0.237629,0.064573,0.186248
0.239898,0.238094,0.064708,0.186574
0.240343,0.238559,0.064843,0.186899
0.240787,0.239025,0.064979,0.187223
0.241231,0.239490,0.065114,0.187548
0.241676,0.239955,0.065250,0.187873
0.242120,0.240420,0.065385,0.188197
0.242564,0.240886,0.065520,0.188521
0.243007,0.241351,0.065656,0.188845
0.243451,0.241816,0.065791,0.189169
0.243894,0.242281,0.065927,0.189493
0.244337,0.242746,0.066063,0.189816
0.244781,0.243211,0.066198,0.190140
0.245223,0.243676,0.066334,0.190463
0.245666,0.244141,0.066469,0.190786
0.246109,0.244606,0.066605,0.191109
0.246551,0.245071,0.066741,0.191431
0.246994,0.245536,0.066876,0.191754
0.247436,0.246001,0.067012,0.192076
0.247878,0.246465,0.067148,0.192398
0.248319,0.246930,0.067283,0.192720
0.248761,0.247395,0.067419,0.193042
0.249203,0.247860,0.067555,0.193364
0.249644,0.248325,0.067691,0.193686
0.250085,0.248789,0.067827,0.194007
0.250526,0.249254,0.067962,0.194328
0.250967,0.249719,0.068098,0.194649
0.251408,0.250183,0.068234,0.194970
0.251848,0.250648,0.068370,0.195290
0.252289,0.251113,0.068506,0.195611
0.252729,0.251577,0.068642,0.195931
0.253169,0.252042,0.068778,0.196251
0.253609,0.252506,0.068914,0.196571
0.254048,0.252971,0.069050,0.196891
0.254488,0.253435,0.069186,0.197211
0.254927,0.253900,0.069322,0.197530
0.255367,0.254364,0.069458,0.197850
0.255806,0.254829,0.069594,0.198169
0.256245,0.255293,0.069730,0.198488
0.256683,0.255757,0.069866,0.198807
0.257122,0.256222,0.070002,0.199125
0.257560,0.256686,0.070138,0.199444
0.257999,0.257150,0.070274,0.199762
0.258437,0.257615,0.070411,0.200080
0.258875,0.258079,0.070547,0.200398
0.259312,0.258543,0.070683,0.200716
0.259750,0.259007,0.070819,0.201034
0.260188,0.259472,0.070956,0.201351
0.260625,0.259936,0.071092,0.201669
0.261062,0.260400,0.071228,0.201986
0.261499,0.260864,0.071364,0.202303
0.261936,0.261328,0.071501,0.202620
0.262372,0.261792,0.071637,0.202936
0.262809,0.262256,0.071774,0.203253
0.263245,0.262720,0.071910,0.203569
0.263681,0.263184,0.072046,0.203885
0.264117,0.263648,0.072183,0.204201
0.264553,0.264112,0.072319,0.204517
0.264989,0.264576,0.072456,0.204833
0.265424,0.265040,0.072592,0.205148
0.265860,0.265504,0.072729,0.205463
0.266295,0.265968,0.072865,0.205779
0.266730,0.266431,0.073002,0.206094
0.267165,0.266895,0.073138,0.206408
0.267599,0.267359,0.073275,0.206723
0.268034,0.267823,0.073412,0.207038
0.268468,0.268286,0.073548,0.207352
0.268902,0.268750,0.073685,0.207666
0.269336,0.269214,0.073822,0.207980
0.269770,0.269678,0.073958,0.208294
0.270204,0.270141,0.074095,0.208608
0.270637,0.270605,0.074232,0.208921
0.271071,0.271068,0.074368,0.209235
0.271504,0.271532,0.074505,0.209548
0.271937,0.271996,0.074642,0.209861
0.272370,0.272459,0.074779,0.210174
0.272802,0.272923,0.074916,0.210486
0.273235,0.273386,0.075052,0.210799
0.273667,0.273849,0.075189,0.211111
0.274099,0.274313,0.075326,0.211423
0.274531,0.274776,0.075463,0.211735
0.274963,0.275240,0.075600,0.212047
0.275395,0.275703,0.075737,0.212359
0.275827,0.276166,0.075874,0.212671
0.276258,0.276630,0.076011,0.212982
0.276689,0.277093,0.076148,0.213293
0.277120,0.277556,0.076285,0.213604
0.277551,0.278020,0.076422,0.213915
0.277982,0.278483,0.076559,0.214226
0.278412,0.278946,0.076696,0.214536
0.278843,0.279409,0.076833,0.214847
0.279273,0.279872,0.076970,0.215157
0.279703,0.280336,0.077107,0.215467
0.280133,0.280799,0.077244,0.215777
0.280562,0.281262,0.077381,0.216087
0.280992,0.281725,0.077519,0.216396
0.281421,0.282188,0.077656,0.216706
0.281850,0.282651,0.077793,0.217015
0.282279,0.283114,0.077930,0.217324
0.282708,0.283577,0.078067,0.217633
0.283137,0.284040,0.078205,0.217942
0.283565,0.284503,0.078342,0.218250
0.283994,0.284966,0.078479,0.218559
0.284422,0.285429,0.078617,0.218867
0.284850,0.285892,0.078754,0.219175
0.285278,0.286354,0.078891,0.219483
0.285705,0.286817,0.079029,0.219791
0.286133,0.287280,0.079166,0.220098
0.286560,0.287743,0.079303,0.220406
0.286987,0.288206,0.079441,0.220713
0.287414,0.288668,0.079578,0.221020
0.287841,0.289131,0.079716,0.221327
0.288268,0.289594,0.079853,0.221634
0.288694,0.290057,0.079991,0.221941
0.289121,0.290519,0.080128,0.222247
0.289547,0.290982,0.080266,0.222554
0.289973,0.291444,0.080403,0.222860
0.290398,0.291907,0.080541,0.223166
0.290824,0.292370,0.080678,0.223472
0.291249,0.292832,0.080816,0.223777
0.291675,0.293295,0.080954,0.224083
0.292100,0.293757,0.081091,0.224388
0.292525,0.294220,0.081229,0.224693
0.292950,0.294682,0.081367,0.224998
0.293374,0.295145,0.081504,0.225303
0.293799,0.295607,0.081642,0.225608
0.294223,0.296069,0.081780,0.225912
0.294647,0.296532,0.081918,0.226217
0.295071,0.296994,0.082055,0.226521
0.295495,0.297457,0.082193,0.226825
0.295918,0.297919,0.082331,0.227129
0.296342,0.298381,0.082469,0.227433
0.296765,0.298843,0.082607,0.227736
0.297188,0.299306,0.082744,0.228040
0.297611,0.299768,0.082882,0.228343
0.298034,0.300230,0.083020,0.228646
0.298456,0.300692,0.083158,0.228949
0.298879,0.301154,0.083296,0.229252
0.299301,0.301617,0.083434,0.229554
0.299723,0.302079,0.083572,0.229857
0.300145,0.302541,0.083710,0.230159
0.300566,0.303003,0.083848,0.230461
0.300988,0.303465,0.083986,0.230763
0.301409,0.303927,0.084124,0.231065
0.301830,0.304389,0.084262,0.231367
0.302251,0.304851,0.084400,0.231668
0.302672,0.305313,0.084538,0.231970
0.303093,0.305775,0.084676,0.232271
0.303513,0.306237,0.084814,0.232572
0.303934,0.306699,0.084952,0.232873
0.304354,0.307161,0.085091,0.233173
0.304774,0.307623,0.085229,0.233474
0.305194,0.308085,0.085367,0.233774
0.305613,0.308546,0.085505,0.234075
0.306033,0.309008,0.085643,0.234375
0.306452,0.309470,0.085782,0.234674
0.306871,0.309932,0.085920,0.234974
0.307290,0.310394,0.086058,0.235274
0.307709,0.310855,0.086196,0.235573
0.308127,0.311317,0.086335,0.235872
0.308546,0.311779,0.086473,0.236172
0.308964,0.312240,0.086611,0.236471
0.309382,0.312702,0.086750,0.236769
0.309800,0.313164,0.086888,0.237068
0.310218,0.313625,0.087027,0.237366
0.310635,0.314087,0.087165,0.237665
0.311053,0.314548,0.087303,0.237963
0.311470,0.315010,0.087442,0.238261
0.311887,0.315472,0.087580,0.238559
0.312304,0.315933,0.087719,0.238856
0.312721,0.316395,0.087857,0.239154
0.313137,0.316856,0.087996,0.239451
0.313553,0.317317,0.088134,0.239748
0.313970,0.317779,0.088273,0.240046
0.314385,0.318240,0.088412,0.240342
0.314801,0.318702,0.088550,0.240639
0.315217,0.319163,0.088689,0.240936
0.315632,0.319624,0.088827,0.241232
0.316048,0.320086,0.088966,0.241528
0.316463,0.320547,0.089105,0.241824
0.316878,0.321008,0.089243,0.242120
0.317292,0.321470,0.089382,0.242416
0.317707,0.321931,0.089521,0.242712
0.318121,0.322392,0.089659,0.243007
0.318536,0.322853,0.089798,0.243303
0.318950,0.323315,0.089937,0.243598
0.319364,0.323776,0.090076,0.243893
0.319777,0.324237,0.090214,0.244188
0.320191,0.324698,0.090353,0.244482
0.320604,0.325159,0.090492,0.244777
0.321017,0.325620,0.090631,0.245071
0.321430,0.326081,0.090770,0.245365
