w,x,y,z
0.000440,0.000417,0.000120,0.000370
0.000880,0.000833,0.000240,0.000740
0.001320,0.001250,0.000360,0.001109
0.001760,0.001666,0.000480,0.001479
0.002199,0.002083,0.000600,0.001848
0.002639,0.002499,0.000721,0.002217
0.003079,0.002916,0.000841,0.002586
0.003519,0.003332,0.000961,0.002955
0.003958,0.003748,0.001081,0.003324
0.004398,0.004165,0.001202,0.003693
0.004837,0.004581,0.001322,0.004061
0.005277,0.004997,0.001443,0.004429
0.005716,0.005413,0.001563,0.004798
0.006156,0.005829,0.001683,0.005166
0.006595,0.006245,0.001804,0.005533
0.007034,0.006661,0.001925,0.005901
0.007473,0.007077,0.002045,0.006269
0.007913,0.007493,0.002166,0.006636
0.008352,0.007909,0.002286,0.007003
0.008791,0.008325,0.002407,0.007371
0.009230,0.008741,0.002528,0.007738
0.009669,0.009157,0.002649,0.008104
0.010108,0.009572,0.002769,0.008471
0.010547,0.009988,0.002890,0.008838
0.010986,0.010404,0.003011,0.009204
0.011425,0.010819,0.003132,0.009570
0.011863,0.011235,0.003253,0.009936
0.012302,0.011650,0.003374,0.010302
0.012741,0.012066,0.003495,0.010668
0.013179,0.012481,0.003616,0.011034
0.013618,0.012897,0.003737,0.011399
0.014056,0.013312,0.003858,0.011765
0.014495,0.013728,0.003979,0.012130
0.014933,0.014143,0.004100,0.012495
0.015372,0.014558,0.004221,0.012860
0.015810,0.014973,0.004343,0.013225
0.016248,0.015389,0.004464,0.013589
0.016686,0.015804,0.004585,0.013954
0.017125,0.016219,0.004707,0.014318
0.017563,0.016634,0.004828,0.014682
0.018001,0.017049,0.004949,0.015046
0.018439,0.017464,0.005071,0.015410
0.018877,0.017879,0.005192,0.015774
0.019315,0.018294,0.005314,0.016138
0.019752,0.018708,0.005435,0.016501
0.020190,0.019123,0.005557,0.016864
0.020628,0.019538,0.005678,0.017228
0.021066,0.019953,0.005800,0.017591
0.021503,0.020367,0.005922,0.017953
0.021941,0.020782,0.006044,0.018316
0.022378,0.021197,0.006165,0.018679
0.022816,0.021611,0.006287,0.019041
0.023253,0.022026,0.006409,0.019403
0.023691,0.022440,0.006531,0.019766
0.024128,0.022855,0.006653,0.020128
0.024565,0.023269,0.006774,0.020489
0.025002,0.023684,0.006896,0.020851
0.025439,0.024098,0.007018,0.021213
0.025876,0.024512,0.007140,0.021574
0.026314,0.024927,0.007262,0.021935
0.026750,0.025341,0.007384,0.022296
0.027187,0.025755,0.007507,0.022657
0.027624,0.026169,0.007629,0.023018
0.028061,0.026583,0.007751,0.023379
0.028498,0.026997,0.007873,0.023739
0.028934,0.027411,0.007995,0.024100
0.029371,0.027825,0.008118,0.024460
0.029808,0.028239,0.008240,0.024820
0.030244,0.028653,0.008362,0.025180
0.030681,0.029067,0.008485,0.025540
0.031117,0.029481,0.008607,0.025900
0.031553,0.029895,0.008729,0.026259
0.031990,0.030308,0.008852,0.026619
0.032426,0.030722,0.008974,0.026978
0.032862,0.031136,0.009097,0.027337
0.033298,0.031549,0.009219,0.027696
0.033734,0.031963,0.009342,0.028055
0.034170,0.032377,0.009465,0.028413
0.034606,0.032790,0.009587,0.028772
0.035042,0.033204,0.009710,0.029130
0.035478,0.033617,0.009833,0.029488
0.035914,0.034030,0.009955,0.029846
0.036349,0.034444,0.010078,0.030204
0.036785,0.034857,0.010201,0.030562
