w,x,y,z
6.189798,1.362971,3.750000,98.757234
3.831360,1.054970,1.406250,97.797104
2.371535,0.965920,0.527344,96.951591
1.467932,0.940990,0.197754,96.157488
0.908620,0.937447,0.074158,95.390883
0.562418,0.941047,0.027809,94.642599
0.348125,0.946716,0.010428,93.908995
0.215483,0.952639,0.003911,93.188508
0.133379,0.958197,0.001466,92.480362
0.082559,0.963211,0.000550,91.784083
0.051102,0.967665,0.000206,91.099317
0.031631,0.971596,0.000077,90.425757
0.019579,0.975054,0.000029,89.763124
0.012119,0.978093,0.000011,89.111150
0.007501,0.980763,0.000004,88.469582
0.004643,0.983108,0.000002,87.838171
0.002874,0.985167,0.000001,87.216679
0.001779,0.986975,0.000000,86.604875
0.001101,0.988563,0.000000,86.002535
0.000682,0.989957,0.000000,85.409441
0.000422,0.991181,0.000000,84.825383
0.000261,0.992256,0.000000,84.250156
0.000162,0.993200,0.000000,83.683563
0.000100,0.994029,0.000000,83.125412
0.000062,0.994757,0.000000,82.575515
0.000038,0.995396,0.000000,82.033691
0.000024,0.995958,0.000000,81.499765
0.000015,0.996450,0.000000,80.973566
0.000009,0.996883,0.000000,80.454928
0.000006,0.997263,0.000000,79.943689
