w,x,y,z
2.392421,1.383867,9.058151,230.212812
2.357951,1.388814,8.223665,150.963700
2.326195,1.394670,7.484497,98.972172
2.296812,1.401283,6.829946,64.866880
2.269512,1.408523,6.250508,42.498075
2.244045,1.416277,5.737739,27.830163
2.220200,1.424448,5.284142,18.214938
2.197794,1.432952,4.883055,11.914654
2.176671,1.441716,4.528566,7.789030
2.156696,1.450680,4.215421,5.089855
2.137756,1.459790,3.938955,3.326199
2.119750,1.469001,3.695029,2.175955
2.102594,1.478276,3.479964,1.427791
2.086214,1.487580,3.290494,0.943063
2.070545,1.496887,3.123723,0.630813
2.055532,1.506172,2.977075,0.431373
2.041125,1.515417,2.848266,0.305599
2.027282,1.524603,2.735268,0.227816
2.013965,1.533718,2.636282,0.181182
2.001140,1.542749,2.549709,0.154654
1.988778,1.551686,2.474130,0.140991
1.976852,1.560521,2.408289,0.135452
1.965338,1.569248,2.351066,0.134935
1.954215,1.577859,2.301472,0.137418
1.943463,1.586352,2.258626,0.141587
1.933064,1.594722,2.221749,0.146595
1.923002,1.602966,2.190146,0.151902
1.913263,1.611082,2.163205,0.157170
1.903831,1.619069,2.140379,0.162197
1.894696,1.626924,2.121186,0.166865
1.885844,1.634647,2.105196,0.171114
1.877264,1.642238,2.092029,0.174922
1.868947,1.649696,2.081348,0.178290
1.860883,1.657022,2.072853,0.181232
1.853061,1.664215,2.066279,0.183774
1.845474,1.671276,2.061392,0.185944
1.838114,1.678206,2.057981,0.187772
1.830972,1.685006,2.055864,0.189291
1.824041,1.691676,2.054875,0.190530
1.817314,1.698218,2.054871,0.191520
1.810785,1.704632,2.055722,0.192286
1.804446,1.710921,2.057314,0.192856
1.798292,1.717084,2.059548,0.193251
1.792317,1.723124,2.062333,0.193494
1.786516,1.729042,2.065592,0.193602
1.780881,1.734839,2.069254,0.193595
1.775410,1.740517,2.073257,0.193487
1.770095,1.746077,2.077548,0.193292
1.764934,1.751522,2.082077,0.193022
1.759920,1.756851,2.086804,0.192689
1.755049,1.762068,2.091689,0.192302
1.750318,1.767174,2.096702,0.191869
1.745722,1.772170,2.101811,0.191399
1.741256,1.777058,2.106992,0.190898
1.736917,1.781840,2.112223,0.190372
1.732702,1.786517,2.117484,0.189826
1.728606,1.791091,2.122758,0.189264
1.724625,1.795564,2.128029,0.188691
1.720758,1.799937,2.133285,0.188109
1.716999,1.804212,2.138514,0.187522
1.713347,1.808391,2.143707,0.186933
1.709798,1.812476,2.148854,0.186343
1.706348,1.816468,2.153950,0.185755
1.702996,1.820368,2.158986,0.185169
1.699738,1.824179,2.163959,0.184588
1.696571,1.827902,2.168864,0.184013
1.693494,1.831539,2.173696,0.183444
1.690502,1.835091,2.178452,0.182883
1.687594,1.838560,2.183131,0.182330
1.684768,1.841948,2.187730,0.181786
1.682021,1.845256,2.192248,0.181251
1.679351,1.848485,2.196682,0.180726
1.676755,1.851638,2.201033,0.180211
1.674232,1.854715,2.205300,0.179705
1.671779,1.857719,2.209482,0.179210
1.669395,1.860651,2.213580,0.178726
1.667077,1.863512,2.217593,0.178252
1.664824,1.866304,2.221523,0.177788
1.662633,1.869028,2.225368,0.177335
1.660504,1.871686,2.229131,0.176892
1.658433,1.874278,2.232812,0.176459
1.656421,1.876808,2.236411,0.176037
1.654464,1.879275,2.239930,0.175624
1.652562,1.881681,2.243369,0.175222
1.650712,1.884028,2.246730,0.174829
1.648914,1.886316,2.250014,0.174447
1.647166,1.888548,2.253222,0.174073
1.645466,1.890724,2.256355,0.173709
1.643814,1.892845,2.259415,0.173355
1.642207,1.894914,2.262402,0.173009
1.640645,1.896930,2.265318,0.172672
1.639126,1.898896,2.268165,0.172343
1.637650,1.900812,2.270943,0.172024
1.636214,1.902680,2.273654,0.171712
1.634818,1.904501,2.276299,0.171409
1.633460,1.906275,2.278880,0.171113
1.632140,1.908004,2.281397,0.170825
1.630857,1.909689,2.283852,0.170545
1.629609,1.911330,2.286247,0.170272
1.628396,1.912930,2.288583,0.170006
1.627216,1.914489,2.290861,0.169747
1.626069,1.916008,2.293081,0.169495
1.624954,1.917487,2.295247,0.169250
1.623869,1.918929,2.297357,0.169011
1.622814,1.920333,2.299415,0.168779
1.621789,1.921701,2.301421,0.168553
1.620792,1.923033,2.303376,0.168333
1.619822,1.924331,2.305282,0.168118
1.618879,1.925595,2.307139,0.167910
1.617962,1.926827,2.308949,0.167707
1.617071,1.928026,2.310712,0.167509
1.616204,1.929194,2.312430,0.167317
1.615361,1.930331,2.314105,0.167130
1.614541,1.931438,2.315736,0.166948
1.613744,1.932517,2.317325,0.166771
1.612969,1.933567,2.318874,0.166598
1.612215,1.934590,2.320382,0.166431
1.611482,1.935585,2.321851,0.166267
1.610769,1.936555,2.323282,0.166109
1.610076,1.937499,2.324676,0.165954
1.609402,1.938418,2.326034,0.165804
1.608746,1.939312,2.327356,0.165657
1.608109,1.940184,2.328644,0.165515
1.607489,1.941032,2.329898,0.165377
1.606886,1.941857,2.331120,0.165242
1.606300,1.942661,2.332309,0.165111
1.605730,1.943443,2.333467,0.164983
1.605176,1.944204,2.334595,0.164859
1.604637,1.944946,2.335693,0.164738
1.604112,1.945667,2.336762,0.164621
1.603603,1.946369,2.337803,0.164507
1.603107,1.947053,2.338816,0.164395
1.602625,1.947718,2.339803,0.164287
1.602156,1.948366,2.340764,0.164182
1.601700,1.948996,2.341699,0.164080
1.601257,1.949610,2.342609,0.163980
1.600825,1.950207,2.343496,0.163883
1.600406,1.950788,2.344358,0.163789
1.599998,1.951353,2.345198,0.163697
1.599602,1.951903,2.346015,0.163608
1.599216,1.952439,2.346811,0.163521
1.598841,1.952960,2.347586,0.163437
1.598476,1.953467,2.348339,0.163355
1.598122,1.953960,2.349073,0.163275
1.597777,1.954440,2.349787,0.163197
1.597441,1.954908,2.350482,0.163122
1.597115,1.955362,2.351159,0.163048
1.596798,1.955805,2.351817,0.162977
1.596489,1.956235,2.352458,0.162907
1.596189,1.956654,2.353081,0.162839
1.595897,1.957062,2.353688,0.162774
1.595614,1.957459,2.354279,0.162710
1.595338,1.957844,2.354853,0.162647
1.595069,1.958220,2.355412,0.162587
1.594808,1.958585,2.355957,0.162528
1.594554,1.958941,2.356486,0.162470
1.594308,1.959286,2.357001,0.162415
1.594067,1.959623,2.357503,0.162360
1.593834,1.959950,2.357991,0.162308
1.593607,1.960269,2.358466,0.162256
1.593386,1.960579,2.358927,0.162206
1.593171,1.960880,2.359377,0.162158
1.592962,1.961173,2.359814,0.162111
1.592759,1.961459,2.360240,0.162065
1.592562,1.961736,2.360654,0.162020
1.592370,1.962006,2.361057,0.161976
1.592183,1.962269,2.361449,0.161934
1.592001,1.962525,2.361830,0.161893
1.591825,1.962773,2.362201,0.161853
1.591653,1.963015,2.362562,0.161814
1.591486,1.963250,2.362913,0.161776
1.591323,1.963479,2.363255,0.161739
1.591165,1.963702,2.363587,0.161704
1.591011,1.963919,2.363911,0.161669
1.590862,1.964129,2.364225,0.161635
1.590716,1.964334,2.364532,0.161602
1.590575,1.964534,2.364829,0.161570
1.590437,1.964728,2.365119,0.161539
1.590304,1.964917,2.365401,0.161508
1.590174,1.965100,2.365675,0.161479
1.590047,1.965279,2.365942,0.161450
1.589924,1.965452,2.366201,0.161422
1.589805,1.965621,2.366454,0.161395
1.589688,1.965786,2.366699,0.161369
1.589575,1.965946,2.366938,0.161343
1.589465,1.966101,2.367171,0.161318
1.589358,1.966252,2.367397,0.161294
1.589254,1.966400,2.367617,0.161270
1.589153,1.966543,2.367831,0.161247
1.589054,1.966682,2.368039,0.161225
1.588958,1.966817,2.368241,0.161203
1.588865,1.966949,2.368438,0.161182
1.588775,1.967077,2.368630,0.161162
1.588687,1.967202,2.368816,0.161142
1.588601,1.967323,2.368997,0.161122
1.588518,1.967441,2.369173,0.161103
1.588437,1.967556,2.369345,0.161085
1.588358,1.967667,2.369512,0.161067
1.588281,1.967776,2.369674,0.161050
1.588207,1.967881,2.369832,0.161033
1.588134,1.967984,2.369985,0.161016
1.588064,1.968084,2.370135,0.161000
1.587995,1.968181,2.370280,0.160985
1.587929,1.968276,2.370421,0.160970
1.587864,1.968367,2.370559,0.160955
1.587801,1.968457,2.370692,0.160940
1.587739,1.968544,2.370823,0.160927
1.587680,1.968628,2.370949,0.160913
1.587622,1.968711,2.371072,0.160900
1.587565,1.968791,2.371192,0.160887
1.587511,1.968868,2.371308,0.160875
1.587457,1.968944,2.371421,0.160862
1.587405,1.969018,2.371531,0.160851
1.587355,1.969089,2.371639,0.160839
1.587306,1.969159,2.371743,0.160828
1.587258,1.969227,2.371844,0.160817
1.587212,1.969293,2.371943,0.160807
1.587166,1.969357,2.372039,0.160796
1.587123,1.969419,2.372132,0.160786
1.587080,1.969480,2.372222,0.160777
1.587038,1.969538,2.372311,0.160767
1.586998,1.969596,2.372396,0.160758
1.586959,1.969652,2.372480,0.160749
1.586920,1.969706,2.372561,0.160740
1.586883,1.969759,2.372640,0.160732
1.586847,1.969810,2.372717,0.160724
1.586812,1.969860,2.372792,0.160716
1.586778,1.969908,2.372864,0.160708
1.586745,1.969956,2.372935,0.160700
1.586712,1.970001,2.373004,0.160693
1.586681,1.970046,2.373070,0.160686
1.586650,1.970090,2.373135,0.160679
1.586620,1.970132,2.373199,0.160672
1.586592,1.970173,2.373260,0.160666
1.586563,1.970213,2.373320,0.160659
1.586536,1.970252,2.373378,0.160653
1.586509,1.970290,2.373435,0.160647
1.586484,1.970326,2.373490,0.160641
1.586458,1.970362,2.373543,0.160635
1.586434,1.970397,2.373595,0.160630
1.586410,1.970431,2.373646,0.160624
1.586387,1.970464,2.373695,0.160619
1.586365,1.970496,2.373743,0.160614
1.586343,1.970527,2.373790,0.160609
1.586321,1.970557,2.373835,0.160604
1.586301,1.970586,2.373879,0.160599
1.586280,1.970615,2.373922,0.160595
1.586261,1.970643,2.373964,0.160590
1.586242,1.970670,2.374004,0.160586
1.586223,1.970696,2.374044,0.160582
1.586205,1.970722,2.374082,0.160578
1.586188,1.970747,2.374119,0.160574
1.586171,1.970771,2.374156,0.160570
1.586154,1.970795,2.374191,0.160566
1.586138,1.970817,2.374225,0.160562
1.586122,1.970840,2.374258,0.160559
1.586107,1.970861,2.374291,0.160555
1.586092,1.970883,2.374323,0.160552
1.586078,1.970903,2.374353,0.160549
1.586064,1.970923,2.374383,0.160546
1.586050,1.970942,2.374412,0.160543
1.586037,1.970961,2.374440,0.160539
1.586024,1.970980,2.374468,0.160537
1.586011,1.970997,2.374495,0.160534
1.585999,1.971015,2.374521,0.160531
1.585987,1.971032,2.374546,0.160528
1.585976,1.971048,2.374570,0.160526
1.585965,1.971064,2.374594,0.160523
1.585954,1.971080,2.374618,0.160521
1.585943,1.971095,2.374640,0.160518
1.585933,1.971109,2.374662,0.160516
1.585923,1.971124,2.374684,0.160514
1.585913,1.971138,2.374704,0.160511
1.585903,1.971151,2.374725,0.160509
1.585894,1.971164,2.374744,0.160507
1.585885,1.971177,2.374763,0.160505
1.585877,1.971189,2.374782,0.160503
1.585868,1.971202,2.374800,0.160501
1.585860,1.971213,2.374818,0.160499
1.585852,1.971225,2.374835,0.160497
1.585844,1.971236,2.374852,0.160496
1.585836,1.971247,2.374868,0.160494
1.585829,1.971257,2.374883,0.160492
1.585822,1.971267,2.374899,0.160491
1.585815,1.971277,2.374914,0.160489
1.585808,1.971287,2.374928,0.160487
1.585801,1.971296,2.374942,0.160486
1.585795,1.971306,2.374956,0.160484
1.585789,1.971315,2.374969,0.160483
1.585783,1.971323,2.374982,0.160482
1.585777,1.971332,2.374995,0.160480
1.585771,1.971340,2.375007,0.160479
1.585765,1.971348,2.375019,0.160478
1.585760,1.971355,2.375031,0.160476
1.585754,1.971363,2.375042,0.160475
1.585749,1.971370,2.375053,0.160474
1.585744,1.971377,2.375064,0.160473
1.585739,1.971384,2.375074,0.160472
1.585735,1.971391,2.375084,0.160471
1.585730,1.971398,2.375094,0.160470
